# ,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
969,149400729,1,5650000,38,21,8,0.16022710116347483,15,0,1,0,0,13,17,0
970,150840863,2,5658382,55,34,10,0.1866145563423453,20,0,0,0,0,12,16,1
971,150303379,1,5690000,33,19,6,0.13122439165966654,10,0,1,0,0,3,5,0
972,147386941,1,5700000,31,19,7,0.06896555358619429,17,1,1,0,0,1,5,0
973,36956560,2,5700000,45,28,6,0.16149659008861456,5,0,1,0,0,3,5,0
974,149574673,2,5700000,42,27,5,0.15463459630253706,13,1,1,0,0,1,5,0
975,150594479,1,5700000,32,21,6,0.14185924244140777,15,1,1,0,0,4,9,0
976,150864577,2,5700000,39,22,8,0.16472182839153107,15,0,0,0,0,11,12,0
977,150919068,2,5700000,43,29,6,0.16895734275860314,10,0,1,0,0,4,5,0
978,150874504,2,5700000,37,24,6,0.16563536281256255,10,0,0,0,0,5,12,0
979,143480349,2,5700000,39,24,6,0.16463849771802613,NaN,NaN,1,0,0,5,9,0
980,23085108,5,55000000,224,114,25,0.1540250691597008,10,1,1,0,0,33,40,0
981,150094556,3,11450000,57,46,9,0.05465400725884607,5,1,1,0,0,8,9,0
982,150159369,4,279900900,426,307,15,0.11989469469100669,2,1,0,0,0,26,26,0
983,146786725,1,5715319,39,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,16,21,1
984,150119589,1,5716768,39,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,16,21,1
985,150840776,1,5728950,43,17,12,0.1866145563423453,20,0,0,0,0,3,14,1
986,147467063,1,5736412,32,26,4,0.1050391824437451,15,1,0,0,0,2,13,1
987,149949427,1,5750000,32,20,6,0.0857723437166625,19,1,0,0,0,3,5,0
988,149967774,2,5790000,45,29,6,0.14126933097615313,7,0,0,0,0,2,9,0
989,150841048,2,5799600,64,31,16,0.1866145563423453,20,0,0,0,0,2,16,1
990,141203964,2,5800000,45,29,5,0.16210979913579673,NaN,NaN,0,0,0,3,5,0
991,150532253,2,5800000,38,23,8,0.17934012082534945,10,1,0,0,0,1,9,0
992,149755568,1,5800000,40,19,10,0.14555610132196356,15,0,0,0,0,11,16,0
993,38872181,1,5800000,38,19,9,0.15619791084790322,10,0,0,0,0,7,17,0
994,150848917,3,5800000,68,46,8,0.1456632208989293,3,0,0,0,0,1,16,0
995,150840997,2,5826600,64,30,15,0.1866145563423453,20,0,0,0,0,2,16,1
996,149136463,1,5850000,33,19,6,0.10480376953931522,10,1,1,0,0,4,5,0
997,151141498,2,5850000,40,24,7,0.17832951561491342,15,1,0,0,0,8,12,0
998,150689308,1,5857005,42,16,11,0.14881065099329915,10,0,0,0,0,11,24,1
999,150062441,1,5890152,29,24,4,0.1050391824437451,15,1,0,0,0,12,14,1
1000,150841011,2,5893515,64,31,15,0.1866145563423453,20,0,0,0,0,4,16,1
1001,150155730,1,5900000,32,18,7,0.0671789179136535,10,1,0,0,0,1,9,0
1002,150126071,1,5900000,35,19,7,0.16660223907153557,15,1,0,0,0,4,9,0
1003,151058731,1,5900000,33,16,8,0.11563630086201132,NaN,NaN,0,0,0,9,12,0
1004,149069180,2,5900000,38,23,7,0.17832951561491342,15,1,0,0,0,8,12,0
1005,151012252,1,5900000,36,15,10,0.12719073159963293,30,1,0,0,0,16,16,0
1006,150843685,1,5900000,38,19,7,0.16097591044454368,20,0,0,0,0,2,17,0
1007,151079875,2,5900000,40,24,7,0.12177984943762045,5,0,0,0,0,5,9,0
1008,3766985,2,39000000,65,50,10,0.11137527843758466,8,1,0,0,0,26,45,0
1009,151068890,1,4990000,33,19,7,0.1550002865205383,20,1,0,0,0,3,9,0
1010,148261575,2,5100000,40,26,6,0.16027353830701016,NaN,NaN,1,0,0,3,9,0
1011,149979129,1,5900000,39,19,9,0.16800537556057424,NaN,NaN,0,0,0,7,17,0
1012,147749953,1,5900000,40,20,8,0.1594353742399983,NaN,NaN,0,0,0,15,17,0
1013,150632762,1,5900000,37,19,8,0.16097591044454368,NaN,NaN,0,0,0,2,17,0
1014,150478185,1,5949000,38,18,7,0.14902900807979982,15,0,0,0,0,6,17,0
1015,147595580,1,5950000,30,17,6,0.14523814574019017,2,1,1,0,0,1,5,0
1016,150828469,1,5950000,30,17,6,0.12714100283091218,10,1,1,0,0,5,5,0
1017,47561562,1,5950000,36,21,10,0.15549399759878285,5,0,0,0,0,14,16,0
1018,150240465,1,5950000,39,20,10,0.15204178405113034,7,0,0,0,0,13,22,0
1019,150840995,2,5958238,65,31,15,0.1866145563423453,20,0,0,0,0,16,16,1
1020,150689154,1,5968077,42,16,11,0.14881065099329915,10,0,0,0,0,12,24,1
1021,150085628,2,5990000,44,29,6,0.1712045520184823,20,1,0,0,0,1,9,0
1022,12991258,1,6000000,38,19,10,0.15630392426759465,10,0,0,0,0,6,22,0
1023,150958076,1,6000000,38,19,10,0.06878942458437565,18,1,0,0,0,4,22,0
1024,151141474,2,6000000,44,29,6,0.14893323334249634,NaN,NaN,0,0,0,2,5,0
1025,149996951,2,5999999,45,30,6,0.15260000790448533,10,0,0,0,0,2,5,0
1026,149092542,1,6000000,34,20,7,0.11332375949133242,NaN,NaN,0,0,0,5,9,0
1027,150329920,2,6000000,38,23,7,0.18361266003097,13,1,0,0,0,2,9,0
1028,147673264,2,6000000,45,31,7,0.12301015434121453,NaN,NaN,0,0,0,6,9,0
1029,150603025,1,6000000,31,19,6,0.08765660442459551,14,1,0,0,0,4,5,0
1030,150207856,1,6000000,39,21,10,0.11664117591335159,NaN,NaN,0,0,0,12,12,0
1031,150841026,2,6016170,64,31,15,0.1866145563423453,20,0,0,0,0,10,16,1
1032,150841044,2,6092430,65,32,11,0.1866145563423453,20,0,0,0,0,8,16,1
1033,151129263,2,6150000,45,27,6,0.08596391270672782,7,1,0,0,0,1,5,0
1034,148869573,2,6150000,40,23,8,0.136290557239486,NaN,NaN,0,0,0,8,9,0
1035,150947734,2,6150000,54,30,1,0.15323850971296407,15,1,0,0,0,15,16,0
1036,151035520,2,12500000,65,32,20,0.1552911850571371,5,1,0,0,0,14,26,0
1037,149592438,2,13029764,44,NaN,1,0.059258454495956965,7,1,1,0,0,2,7,1
1038,149552321,2,13300000,60,36,15,0.14387231607105494,15,1,0,0,0,13,25,0
1039,149974485,1,6154100,31,26,4,0.1050391824437451,15,1,0,0,0,14,14,1
1040,50631481,1,6161890,31,26,4,0.1050391824437451,15,1,0,0,0,6,13,1
1041,148069074,1,6190000,38,19,8,0.12711818711517534,12,0,0,0,0,16,17,0
1042,148162689,1,6200000,31,17,5,0.1290709976503201,NaN,NaN,1,0,0,4,9,0
1043,150329249,2,6200000,38,23,7,0.12592944968215103,10,1,0,0,0,1,12,0
1044,150740912,1,6200000,40,20,1,0.18079587929775867,NaN,NaN,0,0,0,8,16,0
1045,148326190,1,6200000,38,19,8,0.13561304863120535,NaN,NaN,0,0,0,11,17,0
1046,148397502,2,6200000,37,23,6,0.1440135710988702,15,1,0,0,0,5,14,0
1047,151000403,1,6200000,35,19,10,0.14053202450989533,7,0,0,0,0,4,16,0
1048,147384212,1,6215501,31,21,5,0.1050391824437451,15,1,0,0,0,14,14,1
1049,147384213,1,6227314,31,21,5,0.1050391824437451,15,1,0,0,0,14,14,1
1050,149974483,1,6229704,29,24,4,0.1050391824437451,15,1,0,0,0,14,14,1
1051,150573042,1,6299000,35,19,9,0.06513039036924094,10,1,0,0,0,1,12,0
1052,148797290,2,6300000,42,28,5,0.1307265301461358,10,0,1,0,0,4,5,0
1053,150933465,2,6300000,45,29,5,0.16210979913579673,10,0,0,0,0,5,5,0
1054,150728986,1,6300000,36,20,10,0.14314981670211402,15,1,0,0,0,11,12,0
1055,148509268,1,6350000,38,19,7,0.18265718852607568,17,1,0,0,0,10,17,0
1056,147349454,1,6355440,29,24,4,0.1050391824437451,15,1,0,0,0,7,14,1
1057,150841220,2,6361672,64,40,15,0.1866145563423453,20,0,0,0,0,2,14,1
1058,149893386,2,6364152,56,NaN,2,0.1888920753717584,20,1,0,0,0,2,17,1
1059,150841242,2,6369560,64,30,15,0.1866145563423453,20,0,0,0,0,2,14,1
1060,149918726,2,6374150,49,49,1,0.13011466764146856,10,0,1,0,0,4,8,0
1061,150638659,1,6400000,30,19,4,0.06996335006165791,10,1,1,0,0,2,5,0
1062,150103372,1,6400000,38,23,6,0.07096210645302077,17,1,0,0,0,3,14,0
1063,149788040,2,6400000,44,27,6,0.1537130782576715,13,1,1,0,0,3,5,0
1064,151110855,1,2677500,25,17,1,0.1866145563423453,20,0,0,0,0,2,16,1
1065,149893512,1,3260464,27,NaN,1,0.1888920753717584,20,1,0,0,0,2,17,1
1066,150605832,2,18300000,54,34,7,0.07696006838386672,11,1,1,0,0,9,20,0
1067,150694096,2,6400000,37,29,7,0.17994014107933062,12,1,0,0,0,1,9,0
1068,150840922,2,6420594,66,28,12,0.1866145563423453,20,0,0,0,0,16,16,1
1069,150587602,1,6450000,31,20,6,0.10309225107955215,15,0,1,0,0,3,5,0
1070,150849023,1,6480000,35,19,10,0.12582972794077993,15,0,0,0,0,7,12,0
1071,150996171,1,6490000,43,25,1,0.15524254101195697,5,1,0,0,0,3,26,1
1072,150841216,2,6490589,62,30,13,0.1866145563423453,20,0,0,0,0,6,14,1
1073,149914195,1,6500000,40,22,11,0.1392890720460494,10,0,0,0,0,5,14,0
1074,33063376,1,6500000,32,21,6,0.08765660442459551,12,1,0,0,0,2,5,0
1075,147708726,1,6500000,32,21,6,0.09209236874600266,10,1,0,0,0,3,9,0
1076,150938468,1,6500000,37,19,7,0.1287316672379009,25,0,0,0,0,5,17,0
1077,148729318,1,6500000,36,16,8,0.1607251314301862,15,1,0,0,0,2,17,0
1078,150298241,1,6500000,39,18,9,0.11302156421077017,5,0,0,0,0,7,18,0
1079,150314513,1,6500000,43,18,13,0.1550069227352407,5,1,0,0,0,6,26,0
1080,149465141,1,6500000,36,16,10,0.19788047550339408,29,1,0,0,0,9,17,0
1081,151119438,2,6500000,42,27,6,0.11798547620215927,10,0,0,0,0,6,9,0
1082,151139331,2,6500000,45,30,6,0.18608529118027936,10,0,0,0,0,9,12,0
1083,150944633,2,6500000,38,23,8,0.0839924448819616,15,1,0,0,0,3,9,0
1084,149676884,3,6500000,54,37,5,0.10355693063551792,10,1,0,0,0,5,5,0
1085,148242069,1,6500000,40,22,9,0.12906030614192976,NaN,NaN,0,0,0,5,14,0
1086,150385071,2,6500000,45,31,5,0.12612078165809545,NaN,NaN,0,0,0,1,5,0
1087,148410957,3,6500000,56,43,6,0.14628927252074725,8,0,1,0,0,3,5,0
1088,150874853,2,6500000,45,30,6,0.14461169518420347,10,0,0,0,0,6,9,0
1089,150841096,2,6504774,64,30,15,0.1866145563423453,20,0,0,0,0,13,14,1
1090,150196730,1,6520000,32,NaN,1,0.15098916497036893,14,1,0,0,0,1,22,1
1091,149918720,2,6535754,54,54,1,0.13011466764146856,10,0,1,0,0,5,8,0
1092,149968205,3,169563420,206,75,15,0.11137527843758466,13,1,0,0,0,46,57,0
1093,150505429,2,7950000,47,31,6,0.08384428288708365,14,1,0,0,0,7,9,0
1094,150853822,3,32900000,103,68,1,0.0956949152727039,16,1,0,0,0,28,32,0
1095,150196867,1,6559140,32,9,12,0.15098916497036893,14,1,0,0,0,5,22,1
1096,150841019,3,6576375,67,39,11,0.1866145563423453,20,0,0,0,0,16,16,1
1097,150251167,1,6600000,33,16,7,0.0591895084643347,10,1,1,0,0,1,7,0
1098,147704368,3,6600000,56,38,6,0.14948919632083582,5,0,0,0,0,1,5,0
1099,150288219,2,6600000,52,30,10,0.16259211645664223,NaN,NaN,0,0,0,12,14,0
1100,150828441,1,6600000,32,20,6,0.06653917662888291,10,1,0,0,0,3,5,0
1101,149551974,2,6600000,45,30,6,0.12799688781001323,NaN,NaN,0,0,0,4,9,0
1102,47903452,1,6600000,38,17,8,0.13471682519881684,NaN,NaN,0,0,0,4,16,0
1103,151080034,3,6650000,50,30,7,0.1663747837884383,5,0,0,0,0,8,9,0
1104,43992630,2,6654872,52,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,2,21,1
1105,150679280,2,6661007,44,27,6,0.16934823799688503,28,1,0,0,0,2,9,0
1106,150841252,2,6667608,64,31,15,0.1866145563423453,20,0,0,0,0,4,14,1
1107,149918721,2,6676227,51,51,1,0.13011466764146856,10,0,1,0,0,6,8,0
1108,149796989,2,6700000,39,25,6,0.1491904936155415,25,1,0,0,0,5,12,0
1109,144339320,1,6700000,30,18,6,0.06794529834690625,10,1,1,0,0,2,9,0
1110,150617178,2,6700000,40,25,7,0.12618396695004155,7,0,0,0,0,7,9,0
1111,149945118,2,6700000,44,28,6,0.16272557394844003,15,1,0,0,0,9,9,0
1112,150348984,2,6700000,44,29,5,0.12828900759788084,NaN,NaN,0,0,0,5,5,0
1113,3317550,2,6750000,46,37,7,0.152307519939265,NaN,NaN,0,0,0,8,12,0
1114,151117629,1,6750000,38,19,8,0.12673864553895514,10,0,0,0,0,12,17,0
1115,150572596,2,6790994,56,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,1,21,1
1116,150948281,1,6800000,40,19,10,0.14344413054025587,5,0,0,0,0,12,14,0
1117,150572594,2,6800000,55,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,5,21,1
1118,150417057,2,6800000,56,32,11,0.15057166196748342,NaN,NaN,0,0,0,5,21,0
1119,150916106,2,6800000,40,24,6,0.14523315303555867,15,0,0,0,0,8,12,0
1120,150890426,3,8300000,58,42,6,0.1153086948571067,5,0,0,0,0,2,9,0
1121,149544744,3,25700000,82,56,22,0.0841906665827642,10,1,0,0,0,4,30,0
1122,150505429,2,7950000,47,31,6,0.08384428288708365,14,1,0,0,0,7,9,0
1123,151081023,2,6800000,39,24,6,0.12519742189697314,7,0,0,0,0,7,14,0
1124,150780984,1,6800000,31,18,5,0.08984108487351466,16,1,1,0,0,5,5,0
1125,149918723,3,6811324,53,53,1,0.13011466764146856,10,0,1,0,0,7,8,0
1126,149486645,1,6850000,36,20,10,0.15759441292714213,13,1,0,0,0,5,12,0
1127,150119597,2,6855319,56,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,1,21,1
1128,150454956,1,6900000,35,20,10,0.06768635083862898,15,1,0,0,0,14,16,0
1129,150132915,1,6900000,39,19,8,0.13362498142132564,7,0,0,0,0,9,17,0
1130,150585927,1,6900000,39,18,12,0.12553841542432367,5,0,1,0,0,1,14,0
1131,147823493,2,6900000,34,21,5,0.0661769196672803,15,1,1,0,0,7,9,0
1132,150996225,1,6900000,43,15,NaN,0.15524254101195697,5,1,0,0,0,12,26,1
1133,150198336,1,6900192,34,NaN,1,0.15098916497036893,14,1,0,0,0,2,22,1
1134,149352431,1,6912000,43,18,13,0.15524254101195697,2,1,1,0,0,18,26,1
1135,150068572,1,6912000,43,13,18,0.15524254101195697,2,1,0,0,0,18,26,1
1136,148892911,1,6950000,45,20,8,0.06971384689894464,12,1,0,0,0,1,5,0
1137,150707559,1,6950000,38,19,8,0.1200790879231266,15,1,0,0,0,5,16,0
1138,148849850,2,6950000,45,28,7,0.14428154398691856,8,0,0,0,0,10,12,0
1139,150871565,1,6950000,34,17,8,0.07651745007022513,5,1,0,0,0,3,4,0
1140,146786697,2,6961013,52,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,6,21,1
1141,150840743,2,6980880,69,35,18,0.1866145563423453,20,0,0,0,0,2,14,1
1142,150933503,2,6990000,39,22,7,0.08829773029387654,7,0,0,0,0,5,12,0
1143,149843865,2,6990000,58,34,8,0.15960750722835354,20,0,1,0,0,3,5,0
1144,150067952,1,6992000,43,18,13,0.15524254101195697,2,1,0,0,0,16,26,1
1145,147384028,1,6994702,31,26,4,0.1050391824437451,15,1,0,0,0,7,15,1
1146,151131212,2,6999000,54,31,9,0.16886439880048518,15,0,0,0,0,14,16,0
1147,139864108,2,7000000,44,27,6,0.06436058398313241,10,1,0,0,0,1,5,0
1148,149632459,NaN,30556401,181,181,4,0.13030486677422765,15,1,1,0,0,1,1,0
1149,149579100,2,55000000,173,80,1,0.15932528158346645,12,1,0,0,0,7,11,0
1150,150689315,2,7773522,61,33,12,0.14881065099329915,10,0,0,0,0,2,24,1
1151,150974235,2,7000000,44,30,5,0.12544405329089484,NaN,NaN,0,0,0,1,5,0
1152,148685419,1,7000000,39,18,9,0.1184952820514328,10,0,0,0,0,10,17,0
1153,150943207,2,7000000,44,28,6,0.19859817643686847,31,1,0,0,0,3,12,0
1154,151112691,3,7000000,51,34,6,0.16371209395963524,20,0,0,0,0,9,9,0
1155,150808928,1,7000000,39,19,8,0.14019547555413295,NaN,NaN,0,0,0,13,17,0
1156,150095710,2,7000000,52,31,9,0.1485862684875363,NaN,NaN,0,0,0,10,12,0
1157,148969128,1,7003500,43,13,17,0.15535316758485757,7,1,0,0,0,19,26,1
1158,137156107,1,7008000,43,13,17,0.1555880093273587,7,1,0,0,0,17,26,1
1159,150068017,1,7008000,43,13,15,0.15524254101195697,2,1,0,0,0,15,26,1
1160,150840769,2,7009200,70,34,19,0.1866145563423453,20,0,0,0,0,2,14,1
1161,147983804,1,7014600,43,18,13,0.15524254101195697,2,1,1,0,0,18,26,1
1162,50628461,1,7049847,31,26,4,0.1050391824437451,15,1,0,0,0,9,14,1
1163,150101104,1,7050000,38,18,9,0.1398961259744157,NaN,NaN,0,0,0,16,25,0
1164,147983784,1,7063200,43,18,13,0.15524254101195697,2,1,1,0,0,17,26,1
1165,137156125,1,7079400,43,13,17,0.1555880093273587,7,1,0,0,0,19,26,1
1166,150067821,1,7095600,43,13,15,0.15524254101195697,2,1,0,0,0,17,26,1
1167,150840779,2,7098300,71,35,19,0.1866145563423453,20,0,0,0,0,2,14,1
1168,150638472,2,7100000,39,22,6,0.11238363535252625,18,1,0,0,0,5,12,0
1169,146338045,2,7100000,45,30,6,0.0673679469499369,4,1,0,0,0,4,5,0
1170,150952418,2,7100000,41,27,6,0.15702685708963615,12,1,1,0,0,5,5,0
1171,149796954,1,7100000,39,17,9,0.13526685202092165,50,1,0,0,0,8,17,0
1172,148870996,2,7100000,52,30,9,0.14819600673044345,29,1,0,0,0,11,12,0
1173,148935751,1,7100000,39,19,8,0.17250891613667488,5,0,0,0,0,2,17,0
1174,150723006,1,7100000,34,19,9,0.09293931376790794,15,1,0,0,0,7,12,0
1175,150840726,2,7111270,70,34,19,0.1866145563423453,20,0,0,0,0,2,14,1
1176,150119581,1,4787047,33,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,2,21,1
1177,151068890,1,4990000,33,19,7,0.1550002865205383,20,1,0,0,0,3,9,0
1178,148622262,3,27000000,92,NaN,NaN,0.07338051749510592,4,1,0,0,0,6,15,0
1179,150067766,1,7111800,43,12,15,0.15524254101195697,2,1,0,0,0,18,26,1
1180,147983773,1,7111800,43,18,13,0.15524254101195697,2,1,1,0,0,18,26,1
1181,150840740,2,7113600,72,34,19,0.1866145563423453,20,0,0,0,0,2,14,1
1182,150197572,1,7116890,31,NaN,1,0.15098916497036893,14,1,0,0,0,17,22,1
1183,149918719,2,7117520,55,55,1,0.13011466764146856,10,0,1,0,0,4,8,0
1184,149352429,1,7123100,43,18,13,0.15524254101195697,2,1,1,0,0,16,26,1
1185,148969119,1,7123100,43,13,16,0.15578207369286542,6,1,0,0,0,16,26,1
1186,150086721,1,7123000,41,14,15,0.1550069227352407,7,1,0,0,0,20,26,1
1187,148785614,3,7150000,52,34,6,0.11252364201468532,15,1,0,0,0,6,9,0
1188,149569829,2,7190000,45,29,7,0.17213443495840375,9,0,0,0,0,5,9,0
1189,149796955,2,7200000,51,30,10,0.14724111460746594,50,1,0,0,0,9,16,0
1190,50400958,2,7200000,41,27,7,0.159563763777524,10,1,0,0,0,4,5,0
1191,149682688,2,7200000,42,26,6,0.167748224223236,5,1,1,0,0,2,9,0
1192,150488155,2,7200000,47,31,9,0.14665313404237074,NaN,NaN,0,0,0,12,12,0
1193,149231080,1,7200000,31,19,5,0.06842562285028596,15,1,1,0,0,2,7,0
1194,149208436,1,7210500,43,16,15,0.1550069227352407,7,1,0,0,0,20,26,1
1195,150655437,2,7250000,43,31,6,0.11880439602324995,5,0,1,0,0,3,5,0
1196,146770475,2,7250000,44,29,6,0.16968561415113773,20,1,0,0,0,5,9,0
1197,150572601,2,7284600,54,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,6,21,1
1198,150122821,2,7300000,42,27,6,0.07107893995727643,10,1,0,0,0,1,5,0
1199,150758849,1,7300000,32,20,6,0.11229552184503934,6,1,1,0,0,4,5,0
1200,148361061,1,7300000,39,19,10,0.13362498142132564,7,0,0,0,0,13,17,0
1201,149554272,2,7300000,53,31,9,0.1594353742399983,10,0,0,0,0,17,17,0
1202,150588971,2,7300000,40,27,7,0.08365827243166134,5,1,0,0,0,10,12,0
1203,138823131,3,7300000,50,37,6,0.16087944657988465,21,1,0,0,0,8,9,0
1204,150890426,3,8300000,58,42,6,0.1153086948571067,5,0,0,0,0,2,9,0
1205,150875833,2,14500000,73,37,13,0.18137815153884648,7,1,0,0,0,12,28,0
1206,150584368,4,130433400,190,140,2,0.11137527843758466,13,1,0,0,0,18,52,0
1207,150952942,2,7300000,42,27,6,0.0811972772206657,15,1,0,0,0,2,5,0
1208,148541216,2,7300000,52,30,9,0.1485862684875363,NaN,NaN,0,0,0,5,12,0
1209,150854568,3,7300000,56,39,6,0.08252043685808723,8,1,0,0,0,2,9,0
1210,149594077,2,7300000,46,28,6,0.07612442951148851,15,1,0,0,0,3,5,0
1211,148163141,2,7300000,44,28,5,0.10165337769424793,15,1,1,0,0,4,5,0
1212,149766132,1,7300000,32,20,5,0.11229552184503934,6,1,0,0,0,4,5,0
1213,150572602,2,7303285,59,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,2,21,1
1214,149719852,2,7380000,45,27,6,0.16224355427581222,7,1,0,0,0,2,12,0
1215,150261261,1,7380000,40,19,13,0.12207413450952406,NaN,NaN,1,0,0,8,12,0
1216,150394208,3,7390000,74,46,12,0.3349286719757651,20,0,0,0,0,5,25,0
1217,150958590,2,7400000,52,30,8,0.1807496957332151,15,0,0,0,0,3,14,0
1218,150703121,3,7400000,60,38,6,0.14790980526540454,15,1,1,0,0,4,5,0
1219,150977885,2,7400000,44,30,6,0.18238241114605805,5,1,1,0,0,4,5,0
1220,150774288,3,7400000,73,45,12,0.33598810706994847,20,0,0,0,0,23,25,0
1221,43992990,2,7440740,61,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,2,21,1
1222,148828675,2,7450000,52,30,9,0.17036897302105464,10,0,0,0,0,17,17,0
1223,150360305,2,7490000,52,32,6,0.17113196154269267,22,1,0,0,0,1,9,0
1224,36902038,1,7500000,33,19,7,0.10738866013062096,5,1,0,0,0,6,9,0
1225,148551808,2,7500000,46,31,8,0.0774362063252682,7,1,0,0,0,12,12,0
1226,149272903,3,7500000,52,34,6,0.14400838843987543,15,0,0,0,0,9,9,0
1227,149403740,3,7500000,52,35,6,0.14400838843987543,14,0,0,0,0,9,9,0
1228,47639387,1,7500000,38,19,9,0.12633181148883255,10,1,0,0,0,11,14,0
1229,147766295,2,7500000,44,28,5,0.12271769417019324,20,1,0,0,0,7,12,0
1230,150496342,1,7500000,36,16,8,0.15748743548375213,20,1,0,0,0,12,17,0
1231,149933870,1,7500000,38,18,9,0.187710989965555,23,1,0,0,0,2,23,0
1232,150468529,2,13387500,51,NaN,NaN,0.08673854336827239,15,1,0,0,0,5,24,1
1233,148261575,2,5100000,40,26,6,0.16027353830701016,NaN,NaN,1,0,0,3,9,0
1234,150299289,3,108000000,144,86,9,0.06536139046294702,4,1,0,0,0,5,10,1
1235,150841027,3,7500220,82,63,2,0.1866145563423453,20,0,0,0,0,2,16,1
1236,142521757,1,7600000,37,19,8,0.14323704410957902,24,1,0,0,0,17,17,0
1237,150977802,2,7600000,50,28,11,0.15549399759878285,15,0,0,0,0,9,16,0
1238,150468782,1,7600000,31,17,6,0.12041285976609796,12,1,0,0,0,8,8,0
1239,150841080,3,7613065,77,51,5,0.1866145563423453,20,0,0,0,0,6,14,1
1240,150106350,1,7650000,38,20,9,0.1921853436832536,15,1,0,0,0,4,25,0
1241,147180930,2,7659123,54,25,12,0.13010960575549382,15,0,0,0,0,5,8,1
1242,148409535,2,7695000,50,29,8,0.12971368920607468,15,0,1,0,0,4,5,0
1243,39358385,2,7699999,38,24,7,0.06972601165741238,13,1,0,0,0,9,9,0
1244,150412890,2,7700000,56,30,9,0.16939378368714916,NaN,NaN,0,0,0,13,17,0
1245,148530799,2,7700000,38,21,6,0.062121141796088755,10,1,0,0,0,11,12,0
1246,149623555,2,7700000,52,31,9,0.14653828048823656,10,0,0,0,0,14,17,0
1247,147537744,1,7700000,44,19,10,0.06027928700017513,9,1,0,0,0,3,16,0
1248,150351531,2,7702525,60,60,1,0.13011466764146856,10,0,1,0,0,7,8,0
1249,46624899,2,7790000,42,26,6,0.09167461869487213,9,0,1,0,0,1,5,0
1250,149021427,3,7800000,56,33,6,0.16149659008861456,NaN,NaN,1,0,0,4,5,0
1251,148921461,1,7800000,40,20,10,0.06027928700017513,9,0,0,0,0,4,12,0
1252,149094754,1,7800000,36,19,8,0.1450884446413611,5,0,0,0,0,14,17,0
1253,146664004,2,7800000,51,29,12,0.13835205789091315,NaN,NaN,0,0,0,8,16,0
1254,150840939,3,7813448,81,48,14,0.1866145563423453,20,0,0,0,0,8,16,1
1255,145191936,1,7857865,31,21,5,0.1050391824437451,15,1,0,0,0,14,14,1
1256,150436201,2,7890000,34,23,7,0.09256809953028701,16,1,0,0,0,2,12,0
1257,149299654,3,7900000,59,41,6,0.14334144395690063,NaN,NaN,0,0,0,6,9,0
1258,151021478,2,7900000,64,38,7,0.12892501194589492,7,1,1,0,0,5,5,0
1259,150906593,2,7900000,55,32,9,0.16351257936455488,5,0,0,0,0,7,14,0
1260,150435545,2,45600000,102,70,10,0.1193760901338703,3,1,1,0,0,19,26,0
1261,150445675,2,5990000,37,22,7,0.10461296930997507,NaN,NaN,0,0,0,4,12,0
1262,150938936,1,4970000,33,19,6,0.11205397074110682,14,1,0,0,0,4,9,0
1263,150407655,2,7900000,42,27,6,0.07706978615027782,11,1,1,0,0,1,9,0
1264,149487345,2,7900000,43,26,6,0.12222180329077958,6,1,0,0,0,1,9,0
1265,150654501,2,7900000,41,26,6,0.08630912743765905,16,1,1,0,0,2,5,0
1266,148284676,1,7900200,39,NaN,NaN,0.1550069227352407,4,0,0,0,0,12,NaN,1
1267,43992805,2,7904764,64,NaN,1,0.15073959748071705,NaN,NaN,0,0,0,2,21,1
1268,150068571,2,7913200,54,NaN,2,0.15524254101195697,2,1,0,0,0,8,29,1
1269,142799232,1,7917000,40,14,15,0.1555880093273587,7,1,0,0,0,8,26,1
1270,151051838,1,7938000,49,18,9,0.15524254101195697,5,1,0,0,0,22,26,1
1271,150068107,1,7948800,41,11,11,0.15524254101195697,2,1,0,0,0,8,26,1
1272,150977949,2,7950000,43,29,5,0.06996335006165791,11,1,1,0,0,5,5,0
1273,150116144,2,7950000,51,30,8,0.16108441017382472,NaN,NaN,0,0,0,12,14,0
1274,147690037,1,7950000,41,20,10,0.06829815751577559,7,1,0,0,0,12,15,0
1275,150383047,1,7990000,47,23,9,0.18476818065903686,10,1,0,0,0,2,23,0
1276,150302063,2,7990000,45,28,6,0.09272693620329212,2,1,0,0,0,1,9,0
1277,150629857,2,8000000,40,25,8,0.15730474924759458,5,1,0,0,0,12,12,0
1278,149703908,2,8000000,53,29,11,0.1456632208989293,22,1,0,0,0,4,16,0
1279,150053661,1,8000000,38,20,11,0.09911397039897987,4,0,0,0,0,12,17,0
